match_id,home_goals,away_goals
WC-001,2,0
WC-002,2,1
WC-003,1,1
WC-004,1,0
WC-005,0,3
WC-006,1,0
WC-007,1,1
WC-008,1,1
WC-009,4,1
WC-010,6,0
WC-011,2,1
WC-012,3,1
WC-013,1,1
WC-014,0,1
WC-015,0,1
WC-016,3,0
WC-017,0,3
WC-018,4,2
WC-019,4,1
WC-020,2,0
WC-021,2,0
WC-022,0,1
WC-025,7,1
WC-026,1,0
WC-027,2,1
WC-028,0,0
WC-029,0,2
WC-030,2,1
WC-031,2,2
WC-032,5,1
WC-033,5,1
WC-034,0,4
WC-037,1,1
WC-038,2,2
WC-039,0,0
WC-040,1,3
WC-043,0,0
WC-044,1,1
WC-045,4,0
WC-046,2,2
WC-049,3,1
WC-050,1,4
WC-051,3,0
WC-052,3,2
WC-055,3,0
WC-056,3,1
WC-057,2,0
WC-058,1,2
WC-061,1,1
WC-062,1,3
WC-063,5,0
WC-064,1,0
WC-067,4,2
WC-068,1,0
WC-069,0,0
WC-070,0,1
